timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,moving,characteristic_num
1624715057.391853,118,127,4,-63,-128,-6,-128,12,,1
1624715057.3946738,-18,-88,53,-128,-14,-7,127,88,,2
1624715057.3946738,49,127,28,-7,127,2,-34,-128,,2
1624715057.415162,103,-118,127,-4,-17,-5,127,127,,3
1624715057.415162,-103,-128,-79,80,-62,4,-53,-113,,3
1624715057.418134,90,-28,67,-46,79,0,127,22,,0
1624715057.418134,-77,-128,33,115,-56,1,-103,-71,,0
1624715057.428533,-5,12,18,-71,-128,0,-72,58,,1
1624715057.428533,14,127,24,54,127,0,-15,127,,1
1624715057.4377759,-41,-128,65,-20,-94,-1,-30,89,,2
1624715057.4377759,-67,13,-17,21,-83,2,-128,-12,,2
1624715057.451852,-20,-61,43,-127,127,3,-87,-48,,3
1624715057.451852,-86,75,32,127,52,-6,127,-128,,3
1624715057.454572,-97,-128,84,27,-21,6,-128,-22,,0
1624715057.454572,16,127,-74,17,-128,-8,-128,38,,0
1624715057.474401,7,-56,67,-43,127,3,127,58,,1
1624715057.474401,-128,-90,-82,-127,-128,3,-103,-128,,1
1624715057.477164,47,10,49,-42,81,6,78,37,,2
1624715057.477164,72,73,-31,-30,107,2,11,93,,2
1624715057.488738,6,127,-70,106,127,-1,105,18,,3
1624715057.488738,0,-57,68,-10,-8,-3,-114,98,,3
1624715057.4979048,19,-101,-69,-64,-21,-3,116,78,,0
1624715057.4979048,-5,127,-11,79,2,3,56,-121,,0
1624715057.5124412,127,-6,25,-31,-85,0,-128,36,,1
1624715057.5124412,43,127,-14,20,127,9,127,55,,1
1624715057.515202,-73,-36,-29,-64,-128,6,-128,-43,,2
1624715057.515202,44,127,57,-69,-128,-2,17,3,,2
1624715057.534901,-64,27,-15,-10,127,-2,94,-20,,3
1624715057.534901,-38,40,27,111,-128,-2,-128,-15,,3
1624715057.53778,-3,-37,87,-18,-61,0,127,127,,0
1624715057.53778,-61,-14,-3,-16,-108,-4,127,6,,0
1624715057.557086,41,127,10,-65,108,4,-11,-32,,1
1624715057.557086,63,-89,-48,73,-89,-3,59,127,,1
1624715057.5598452,-89,-103,13,-82,127,1,-1,-34,,2
1624715057.5598452,24,-128,-79,16,-48,0,89,-26,,2
1624715057.572395,127,127,37,-128,-128,-6,67,127,,3
1624715057.572395,-128,-40,29,107,23,-8,-77,-76,,3
1624715057.575167,-33,107,102,50,32,5,-128,20,,0
1624715057.575167,127,127,-91,-75,-106,1,53,19,,0
1624715057.594848,-69,-13,-27,17,27,-4,61,-12,,1
1624715057.594848,19,127,-4,16,7,-4,-30,14,,1
1624715057.597562,-97,-89,-5,49,-128,0,-128,-46,,2
1624715057.597562,11,80,-63,-13,117,0,87,12,,2
1624715057.616276,-76,-68,63,68,-112,7,-128,-40,,3
1624715057.616276,3,14,-68,2,127,-6,127,-13,,3
1624715057.6179688,-56,-67,14,-108,-86,-6,-48,-128,,0
1624715057.6179688,24,-66,114,127,-128,10,-65,31,,0
1624715057.631129,105,23,120,-41,127,3,-60,-72,,1
1624715057.631129,-128,-17,-28,127,94,-1,127,24,,1
1624715057.632582,25,-21,20,-128,-128,-2,-128,-48,,2
1624715057.632582,-13,-17,58,-57,51,2,16,1,,2
1624715057.653667,5,-128,-72,0,-128,-2,-90,-8,,3
1624715057.653667,-50,127,-101,94,22,-1,-128,-24,,3
1624715057.65518,56,50,-16,-128,-71,4,-128,-45,,0
1624715057.65518,97,127,127,127,-13,-3,-48,26,,0
1624715057.677127,63,127,-7,-128,14,9,76,-58,,1
1624715057.677127,-43,-28,-38,73,-128,0,6,19,,1
1624715057.679314,-24,52,64,38,127,4,-85,20,,2
1624715057.679314,-25,34,18,-88,-128,-7,-43,-63,,2
1624715057.692411,71,-19,2,-9,127,-1,104,-13,,3
1624715057.692411,-69,-97,42,-11,-128,0,13,9,,3
1624715057.695153,75,75,1,-21,46,-2,40,-69,,0
1624715057.695153,31,-7,-32,-5,-41,5,41,27,,0
1624715057.714863,24,127,-49,76,32,1,12,-38,,1
1624715057.714863,-109,-4,-31,-111,36,0,-82,-25,,1
1624715057.71761,22,-128,8,-24,-128,2,81,-46,,2
1624715057.71761,-14,-24,-61,-11,125,-1,-128,-61,,2
1624715057.737504,80,127,-10,127,127,-5,91,-11,,3
1624715057.737504,56,-85,-80,-57,-128,7,15,-128,,3
1624715057.7402701,0,-128,39,-128,-118,0,-128,127,,0
1624715057.7402701,-49,78,-2,79,-1,-8,-124,-128,,0
1624715057.7519739,-128,-26,-64,-48,-21,4,65,24,,1
1624715057.7519739,24,98,35,21,82,0,-6,-2,,1
1624715057.754837,-56,-102,-18,-35,-88,4,-14,-29,,2
1624715057.754837,-120,-22,61,70,-128,-7,-128,-57,,2
1624715057.774407,59,-3,-33,-22,79,-4,127,127,,3
1624715057.774407,30,127,101,127,127,1,-46,-3,,3
1624715057.7772071,54,56,-122,-28,65,-3,21,127,,0
1624715057.7772071,-66,-43,24,89,-13,5,11,24,,0
1624715057.796916,-54,-54,-88,-106,48,6,75,0,,1
1624715057.796916,-9,-100,-35,-29,-29,-3,-8,-128,,1
1624715057.799859,-55,-125,-17,17,-128,5,-128,-110,,2
1624715057.799859,28,127,-54,-128,35,-1,127,68,,2
1624715057.8109498,-25,10,74,127,67,-2,-128,-34,,3
1624715057.8109498,-88,30,-94,57,56,-4,-6,-94,,3
1624715057.818175,-18,-74,2,-31,44,1,-1,-13,,0
1624715057.818175,127,-65,3,-43,-114,2,-60,-59,,0
1624715057.834827,-38,-128,52,-47,-30,-9,127,3,,1
1624715057.834827,78,57,-10,89,95,-10,-31,-31,,1
1624715057.8380969,-44,-128,-2,2,-128,10,-128,-128,,2
1624715057.8380969,11,20,-13,13,127,-11,127,5,,2
1624715057.857213,124,4,-63,24,-8,-5,-13,127,,3
1624715057.857213,-59,-92,40,-2,-102,-2,98,-128,,3
1624715057.860505,51,91,-8,-56,-25,-1,-108,127,,0
1624715057.860505,69,98,29,127,127,-3,127,17,,0
1624715057.871265,-47,127,-12,-35,-111,-4,-128,-10,,1
1624715057.871265,-37,19,-112,-128,-128,1,127,-46,,1
1624715057.880586,51,100,109,127,127,3,-51,63,,2
1624715057.880586,16,40,-73,-128,-128,0,-42,77,,2
1624715057.894778,-90,-35,10,127,-128,-3,44,33,,3
1624715057.894778,127,-128,11,-122,127,2,127,127,,3
1624715057.897713,24,-128,70,-90,-128,2,-128,-27,,0
1624715057.897713,-125,-128,30,44,127,-9,-7,-112,,0
1624715057.916786,127,127,-53,-74,-11,-8,127,127,,1
1624715057.916786,-54,-47,3,40,-119,7,7,-115,,1
1624715057.91925,-30,-45,-30,39,127,0,-128,-128,,2
1624715057.91925,63,112,-54,9,-128,4,127,-48,,2
1624715057.931227,-14,-117,20,15,-70,5,-112,-98,,3
1624715057.931227,127,-6,-39,-1,127,3,52,-104,,3
1624715057.9407969,66,56,-11,16,-128,4,67,-57,,0
1624715057.9407969,66,0,-28,-111,-92,9,53,127,,0
1624715057.955101,49,127,4,4,-128,1,-128,-114,,1
1624715057.955101,-17,-128,32,-74,127,1,-11,50,,1
1624715057.958328,50,-128,-7,127,-128,-3,-1,25,,2
1624715057.958328,1,-120,-10,-128,-128,2,-115,-100,,2
1624715057.9774542,41,-128,93,93,127,-5,-128,-23,,3
1624715057.9774542,117,103,11,-103,-128,3,127,-74,,3
1624715057.980414,55,127,-12,-43,5,3,-54,47,,0
1624715057.980414,-64,5,79,127,127,2,127,-61,,0
1624715057.9908302,98,127,9,-128,-58,7,-40,101,,1
1624715057.9908302,-18,-128,22,76,127,-2,-128,23,,1
1624715058.005316,64,-17,-4,-96,-128,1,127,53,,2
1624715058.005316,-36,-15,39,-12,127,9,-128,-86,,2
1624715058.0145159,-11,-39,-83,32,60,-9,127,95,,3
1624715058.0145159,-3,-128,-11,-54,-46,-6,-128,127,,3
1624715058.016798,113,127,54,-59,-128,-4,127,127,,0
1624715058.016798,-77,83,-63,127,127,1,-8,54,,0
1624715058.037109,9,-19,-61,-108,-128,2,42,33,,1
